Name,B,G
1114693_Rb3ScF6,40.5883,11.7101
1111246_K2LiSbBr6,16.1427,7.606730000000001
1112891_Cs2InAsI6,13.2756,7.645560000000001
1112924_Cs2InAuBr6,26.4807,9.366019999999999
977356_ZnGaIr2,230.514,58.4481
1111589_K2TlAsBr6,16.9212,7.37372
866132_Na2TlSb,25.3301,20.5602
643002_Mg2H6Os,78.9838,54.6206
865904_BeSiIr2,272.103,116.041
861918_Sc2TlCd,65.987,38.8913
1112181_K2InSbF6,38.7061,13.3925
1113332_Cs2TlCuCl6,15.334000000000001,9.5856
31363_K2TaCl6,12.6515,7.11482
976122_Ge3Sb,66.7515,38.7602
1114596_Rb2NaSbI6,12.0114,5.55539
862340_Sc2GaCu,80.8792,44.181000000000004
1112632_Cs2AsAuBr6,26.5047,5.41209
972966_Sc2OsAu,138.664,53.5575
2748_CeAs,70.1969,48.3731
697038_Ba2H6Ru,42.2193,21.3908
1112014_Cs2NaIrF6,37.3522,20.6112
977425_Ta2CrRu,247.551,114.042
1111950_K2AgRhF6,53.6016,17.9876
989542_Ba6Tl2NCl,23.0936,14.2639
20211_Mn3Si,265.282,59.5764
545603_Ba2BiSbO6,122.596,63.7152
865049_HfMgPd2,132.874,43.0886
1111597_K2RbScBr6,14.7643,5.28095
1111192_Na2AgAsBr6,25.2966,7.8316300000000005
862740_Sr2TlCd,23.2009,15.8864
1112213_K2YCuI6,17.7169,4.2512300000000005
867208_Sr2LiIn,22.9992,8.06382
1883_SnTe,41.2661,30.211
20962_Ni23B6,89.4197,83.8277
22503_ZrCo2Sn,161.082,39.9046
1114486_RbInCl3,17.5577,7.5404100000000005
1112938_Cs2ScAgI6,19.5714,6.28037
865713_Li2TlBi,31.1681,12.0587
999396_Nb3Ni,178.419,72.3675
16495_AlCrFe2,223.114,101.5
864897_Zr2CuOs,149.44299999999998,46.0089
1114518_Rb2YHgBr6,16.7887,4.18268
1367_Mg2Si,55.415,45.6903
574025_HfInAu2,135.03799999999998,30.596
1111166_K3SbBr6,14.5207,5.89663
11519_NiSnRh2,193.054,48.6848
571102_TlI,14.334000000000001,7.4634100000000005
1062620_Sr2Ir,38.8105,16.6676
1113281_Cs2AlInBr6,17.0021,7.3145
1113749_Rb2AgIrF6,45.8881,17.1091
11293_ZrCdCu2,116.977,51.5887
1525_CeTe,56.935,33.8673
1113583_Cs2GaAgF6,43.5642,14.7576
1114502_Rb3SbBr6,13.3397,5.456930000000001
3574_MnAlCu2,165.782,59.6351
1111206_K2RbSbCl6,17.5266,6.54133
4536_ScNi2Sn,141.32,55.8537
23295_RbCl,13.0613,8.65588
18992_Ba2MnTeO6,121.80799999999999,75.2559
1080017_Cs2NaLaCl6,16.7776,8.46115
1111016_Rb2HgRhF6,37.8656,16.0548
1111952_Cs2AlTlF6,47.0396,18.0624
865792_BeSiNi2,157.14600000000002,87.1753
1111562_Li2AgAsF6,49.6745,9.25212
982725_Nb2RuW,233.472,106.07799999999999
